schema,table,column,type
raw,customer_bronze_01,country,"decimal(10,2)"
raw,customer_bronze_01,dt,boolean
raw,customer_bronze_01,order_id,boolean
raw,customer_bronze_01,col_4,bigint
raw,customer_bronze_01,col_5,double
raw,customer_bronze_01,col_6,string
raw,customer_bronze_01,col_7,string
raw,customer_bronze_01,col_8,boolean
raw,customer_bronze_01,col_9,bigint
raw,customer_bronze_01,col_10,date
raw,customer_bronze_02,sku,double
raw,customer_bronze_02,status,string
raw,customer_bronze_02,country,timestamp
raw,customer_bronze_02,col_4,int
raw,customer_bronze_02,col_5,bigint
raw,customer_bronze_02,col_6,date
raw,customer_bronze_02,col_7,bigint
raw,customer_bronze_02,col_8,"decimal(10,2)"
raw,customer_bronze_02,col_9,"decimal(10,2)"
raw,customer_bronze_02,col_10,timestamp
raw,customer_bronze_02,col_11,timestamp
raw,customer_bronze_02,col_12,timestamp
raw,customer_bronze_02,col_13,double
raw,customer_bronze_02,col_14,string
raw,customer_bronze_03,customer_id,string
raw,customer_bronze_03,sku,string
raw,customer_bronze_03,customer_id,timestamp
raw,customer_bronze_03,col_4,boolean
raw,customer_bronze_03,col_5,"decimal(10,2)"
raw,customer_bronze_03,col_6,boolean
raw,customer_bronze_03,col_7,double
raw,customer_bronze_03,col_8,string
raw,customer_bronze_03,col_9,date
raw,customer_bronze_03,col_10,double
raw,customer_bronze_03,col_11,"decimal(10,2)"
raw,customer_bronze_04,sku,"decimal(10,2)"
raw,customer_bronze_04,status,int
raw,customer_bronze_04,sku,"decimal(10,2)"
raw,customer_bronze_04,col_4,boolean
raw,customer_bronze_04,col_5,boolean
raw,customer_bronze_04,col_6,int
raw,customer_bronze_04,col_7,date
raw,customer_bronze_04,col_8,bigint
raw,customer_bronze_04,col_9,timestamp
raw,customer_bronze_04,col_10,int
raw,customer_bronze_04,col_11,double
raw,customer_bronze_04,col_12,bigint
raw,customer_bronze_04,col_13,timestamp
raw,customer_bronze_04,col_14,int
raw,customer_bronze_05,customer_id,double
raw,customer_bronze_05,event_ts,timestamp
raw,customer_bronze_05,dt,"decimal(10,2)"
raw,customer_bronze_05,col_4,"decimal(10,2)"
raw,customer_bronze_05,col_5,timestamp
raw,customer_bronze_05,col_6,double
raw,customer_bronze_05,col_7,date
raw,customer_bronze_05,col_8,timestamp
raw,customer_bronze_05,col_9,string
raw,customer_bronze_05,col_10,timestamp
raw,customer_bronze_05,col_11,bigint
raw,customer_bronze_05,col_12,timestamp
raw,customer_bronze_05,col_13,date
raw,customer_bronze_05,col_14,"decimal(10,2)"
raw,customer_bronze_05,col_15,bigint
raw,customer_bronze_05,col_16,string
raw,customer_bronze_05,col_17,"decimal(10,2)"
raw,customer_bronze_05,col_18,string
raw,customer_bronze_06,amount,string
raw,customer_bronze_06,status,string
raw,customer_bronze_06,order_id,date
raw,customer_bronze_06,col_4,int
raw,customer_bronze_06,col_5,timestamp
raw,customer_bronze_06,col_6,date
raw,customer_bronze_06,col_7,date
raw,customer_bronze_06,col_8,"decimal(10,2)"
raw,customer_bronze_06,col_9,boolean
raw,customer_bronze_06,col_10,string
raw,customer_bronze_06,col_11,"decimal(10,2)"
raw,customer_bronze_06,col_12,timestamp
raw,customer_bronze_06,col_13,"decimal(10,2)"
raw,customer_bronze_06,col_14,int
raw,customer_bronze_06,col_15,"decimal(10,2)"
raw,customer_bronze_06,col_16,"decimal(10,2)"
raw,customer_bronze_07,customer_id,"decimal(10,2)"
raw,customer_bronze_07,dt,int
raw,customer_bronze_07,order_id,boolean
raw,customer_bronze_07,col_4,boolean
raw,customer_bronze_07,col_5,int
raw,customer_bronze_07,col_6,timestamp
raw,customer_bronze_07,col_7,int
raw,customer_bronze_07,col_8,date
raw,customer_bronze_07,col_9,bigint
raw,customer_bronze_07,col_10,string
raw,customer_bronze_08,amount,bigint
raw,customer_bronze_08,order_id,date
raw,customer_bronze_08,order_id,"decimal(10,2)"
raw,customer_bronze_08,col_4,timestamp
raw,customer_bronze_08,col_5,bigint
raw,customer_bronze_08,col_6,bigint
raw,customer_bronze_08,col_7,date
raw,customer_bronze_08,col_8,"decimal(10,2)"
raw,customer_bronze_08,col_9,"decimal(10,2)"
raw,customer_bronze_08,col_10,boolean
raw,customer_bronze_08,col_11,"decimal(10,2)"
raw,customer_bronze_08,col_12,double
raw,customer_bronze_08,col_13,bigint
raw,customer_bronze_08,col_14,string
raw,customer_bronze_08,col_15,date
raw,customer_bronze_09,event_ts,string
raw,customer_bronze_09,dt,date
raw,customer_bronze_09,customer_id,bigint
raw,customer_bronze_09,col_4,date
raw,customer_bronze_09,col_5,date
raw,customer_bronze_09,col_6,date
raw,customer_bronze_09,col_7,date
raw,customer_bronze_09,col_8,timestamp
raw,customer_bronze_09,col_9,double
raw,customer_bronze_09,col_10,"decimal(10,2)"
raw,customer_bronze_09,col_11,boolean
raw,customer_bronze_09,col_12,int
raw,customer_bronze_09,col_13,boolean
raw,customer_bronze_09,col_14,double
raw,customer_bronze_09,col_15,bigint
raw,customer_bronze_09,col_16,bigint
raw,customer_bronze_09,col_17,string
raw,customer_bronze_09,col_18,string
raw,customer_bronze_10,customer_id,"decimal(10,2)"
raw,customer_bronze_10,status,string
raw,customer_bronze_10,dt,timestamp
raw,customer_bronze_10,col_4,double
raw,customer_bronze_10,col_5,timestamp
raw,customer_bronze_10,col_6,bigint
raw,customer_bronze_10,col_7,date
raw,customer_bronze_10,col_8,string
raw,customer_bronze_10,col_9,timestamp
raw,customer_bronze_10,col_10,boolean
raw,customer_bronze_10,col_11,int
raw,customer_bronze_10,col_12,boolean
raw,customer_bronze_10,col_13,int
raw,customer_bronze_10,col_14,date
raw,customer_bronze_10,col_15,timestamp
raw,customer_bronze_10,col_16,double
raw,customer_bronze_10,col_17,"decimal(10,2)"
raw,customer_bronze_10,col_18,boolean
raw,customer_bronze_11,order_id,string
raw,customer_bronze_11,sku,bigint
raw,customer_bronze_11,sku,int
raw,customer_bronze_11,col_4,int
raw,customer_bronze_11,col_5,timestamp
raw,customer_bronze_11,col_6,timestamp
raw,customer_bronze_11,col_7,timestamp
raw,customer_bronze_11,col_8,boolean
raw,customer_bronze_11,col_9,int
raw,customer_bronze_11,col_10,int
raw,customer_bronze_11,col_11,date
raw,customer_bronze_11,col_12,boolean
raw,customer_bronze_11,col_13,bigint
raw,customer_bronze_12,status,bigint
raw,customer_bronze_12,event_ts,timestamp
raw,customer_bronze_12,country,string
raw,customer_bronze_12,col_4,double
raw,customer_bronze_12,col_5,date
raw,customer_bronze_12,col_6,string
raw,customer_bronze_12,col_7,bigint
raw,customer_bronze_12,col_8,double
raw,customer_bronze_12,col_9,boolean
raw,customer_bronze_13,dt,"decimal(10,2)"
raw,customer_bronze_13,status,boolean
raw,customer_bronze_13,country,timestamp
raw,customer_bronze_13,col_4,int
raw,customer_bronze_13,col_5,"decimal(10,2)"
raw,customer_bronze_13,col_6,double
raw,customer_bronze_13,col_7,bigint
raw,customer_bronze_13,col_8,int
raw,customer_bronze_13,col_9,bigint
raw,customer_bronze_13,col_10,timestamp
raw,customer_bronze_13,col_11,date
raw,customer_bronze_13,col_12,date
raw,customer_bronze_13,col_13,int
raw,customer_bronze_13,col_14,int
raw,customer_bronze_14,country,bigint
raw,customer_bronze_14,country,date
raw,customer_bronze_14,country,date
raw,customer_bronze_14,col_4,double
raw,customer_bronze_14,col_5,timestamp
raw,customer_bronze_14,col_6,date
raw,customer_bronze_14,col_7,"decimal(10,2)"
raw,customer_bronze_14,col_8,timestamp
raw,customer_bronze_14,col_9,"decimal(10,2)"
raw,customer_bronze_14,col_10,boolean
raw,customer_bronze_14,col_11,string
raw,customer_bronze_14,col_12,string
raw,customer_bronze_14,col_13,timestamp
raw,orders_bronze_01,customer_id,int
raw,orders_bronze_01,customer_id,"decimal(10,2)"
