key,size_bytes,ingest_date,storage_class
s3://demo-data-lake/bronze/customer/dt=2025-09-24/region=us/customer_20250924_0000.parquet,21876191,2025-09-24,STANDARD
s3://demo-data-lake/bronze/customer/dt=2025-09-24/region=us/customer_20250924_0001.parquet,13246540,2025-09-24,STANDARD
s3://demo-data-lake/bronze/customer/dt=2025-09-24/region=us/customer_20250924_0002.parquet,16144246,2025-09-24,STANDARD
s3://demo-data-lake/bronze/customer/dt=2025-09-24/region=us/customer_20250924_0003.parquet,12965746,2025-09-24,STANDARD
s3://demo-data-lake/bronze/customer/dt=2025-09-24/region=us/customer_20250924_0004.parquet,7726716,2025-09-24,STANDARD
s3://demo-data-lake/bronze/customer/dt=2025-09-24/region=us/customer_20250924_0005.parquet,19622598,2025-09-24,STANDARD
s3://demo-data-lake/bronze/customer/dt=2025-09-24/region=us/customer_20250924_0006.parquet,31964708,2025-09-24,STANDARD
s3://demo-data-lake/bronze/customer/dt=2025-09-24/region=us/customer_20250924_0007.parquet,37444681,2025-09-24,STANDARD
s3://demo-data-lake/bronze/customer/dt=2025-09-24/region=us/customer_20250924_0008.parquet,41030867,2025-09-24,STANDARD
s3://demo-data-lake/bronze/customer/dt=2025-09-24/region=us/customer_20250924_0009.parquet,15964194,2025-09-24,STANDARD
s3://demo-data-lake/bronze/customer/dt=2025-09-24/region=us/customer_20250924_0010.parquet,9767424,2025-09-24,STANDARD
s3://demo-data-lake/bronze/customer/dt=2025-09-24/region=us/customer_20250924_0011.parquet,37310202,2025-09-24,STANDARD
s3://demo-data-lake/bronze/customer/dt=2025-09-24/region=us/customer_20250924_0012.parquet,42327244,2025-09-24,STANDARD
s3://demo-data-lake/bronze/customer/dt=2025-09-24/region=us/customer_20250924_0013.parquet,44372050,2025-09-24,STANDARD
s3://demo-data-lake/bronze/customer/dt=2025-09-24/region=us/customer_20250924_0014.parquet,33601024,2025-09-24,STANDARD
s3://demo-data-lake/bronze/customer/dt=2025-09-24/region=us/customer_20250924_0015.parquet,167816,2025-09-24,STANDARD
s3://demo-data-lake/bronze/customer/dt=2025-09-24/region=us/customer_20250924_0016.parquet,18791486,2025-09-24,STANDARD
s3://demo-data-lake/bronze/customer/dt=2025-09-24/region=us/customer_20250924_0017.parquet,1907619,2025-09-24,STANDARD
s3://demo-data-lake/bronze/customer/dt=2025-09-24/region=us/customer_20250924_0018.parquet,33368176,2025-09-24,STANDARD
s3://demo-data-lake/bronze/customer/dt=2025-09-24/region=us/customer_20250924_0019.parquet,11593348,2025-09-24,STANDARD
s3://demo-data-lake/bronze/customer/dt=2025-09-24/region=us/customer_20250924_0020.parquet,12838276,2025-09-24,STANDARD
s3://demo-data-lake/bronze/customer/dt=2025-09-24/region=us/customer_20250924_0021.parquet,34050326,2025-09-24,STANDARD
s3://demo-data-lake/bronze/customer/dt=2025-09-24/region=us/customer_20250924_0022.parquet,26080364,2025-09-24,STANDARD
s3://demo-data-lake/bronze/customer/dt=2025-09-24/region=us/customer_20250924_0023.parquet,12277468,2025-09-24,STANDARD
s3://demo-data-lake/bronze/customer/dt=2025-09-24/region=us/customer_20250924_0024.parquet,22250854,2025-09-24,STANDARD
s3://demo-data-lake/bronze/customer/dt=2025-09-24/region=us/customer_20250924_0025.parquet,21579310,2025-09-24,STANDARD
